Package Name,Class Name,LOC,NOM,WMC,NOF,FAN-IN,FAN-OUT,LCOM
org.apache.roller.planet.business,AbstractManagerImpl,11,3,3,0,0,0,-1.0
org.apache.roller.planet.business,BootstrapException,11,2,2,0,0,0,-1.0
org.apache.roller.planet.business,InitializationException,11,2,2,0,0,0,-1.0
org.apache.roller.planet.business,Manager,17,3,3,0,0,0,-1.0
org.apache.roller.planet.business,MultiPlanetURLStrategy,89,7,15,0,1,1,-1.0
org.apache.roller.planet.business,Planet,37,8,8,0,17,0,-1.0
org.apache.roller.planet.business,PlanetManager,97,25,25,0,25,4,-1.0
org.apache.roller.planet.business,PlanetProvider,13,2,2,0,0,0,-1.0
org.apache.roller.planet.business,PlanetURLStrategy,46,7,7,0,5,0,-1.0
org.apache.roller.planet.business,EntryBasicTests,40,3,3,1,0,5,0.0
org.apache.roller.planet.business,EntryFunctionalTests,60,4,4,8,0,7,0.0
org.apache.roller.planet.business,GroupBasicTests,43,3,3,1,0,5,0.0
org.apache.roller.planet.business,GroupFunctionalTests,33,3,3,3,0,5,0.0
org.apache.roller.planet.business,PlanetBasicTests,32,1,1,1,0,4,0.0
org.apache.roller.planet.business,PlanetFunctionalTests,29,3,3,2,0,4,0.0
org.apache.roller.planet.business,PropertiesTest,38,3,3,1,0,4,1.0
org.apache.roller.planet.business,RomeFeedFetcherTest,46,4,4,2,0,4,0.75
org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,34,3,3,3,0,5,0.0
org.apache.roller.planet.business,SubscriptionBasicTests,32,1,1,0,0,4,-1.0
org.apache.roller.planet.business,SubscriptionFunctionalTests,63,4,4,5,0,6,0.0
org.apache.roller.planet.business.fetcher,FeedFetcher,19,2,2,0,8,0,-1.0
org.apache.roller.planet.business.fetcher,FetcherException,44,5,8,0,0,0,-1.0
org.apache.roller.planet.business.fetcher,RomeFeedFetcher,125,5,24,3,0,2,0.0
org.apache.roller.planet.business.jpa,JPAPlanetImpl,57,9,9,6,1,5,0.0
org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,235,31,48,2,1,6,0.064516129032258
org.apache.roller.planet.business.updater,FeedUpdater,21,3,3,0,3,2,-1.0
org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,139,6,17,1,0,7,0.3333333333333333
org.apache.roller.planet.business.updater,UpdaterException,11,2,2,0,0,0,-1.0
org.apache.roller.planet.config,PlanetRuntimeConfig,78,6,9,3,3,6,0.3333333333333333
org.apache.roller.planet.pojos,Author,19,4,4,2,1,0,0.5
org.apache.roller.planet.pojos,Category,12,2,2,1,1,0,0.0
org.apache.roller.planet.pojos,Planet,53,13,13,5,2,1,0.3076923076923077
org.apache.roller.planet.pojos,PlanetGroup,122,24,29,10,17,5,0.3333333333333333
org.apache.roller.planet.pojos,StaticTemplate,81,21,21,9,0,0,0.2857142857142857
org.apache.roller.planet.pojos,Subscription,134,29,32,10,20,2,0.2413793103448276
org.apache.roller.planet.pojos,SubscriptionEntry,209,40,50,11,10,5,0.425
org.apache.roller.planet.pojos,Template,6,2,2,0,1,0,-1.0
org.apache.roller.planet.tasks,GeneratePlanetTask,39,2,3,1,1,2,0.0
org.apache.roller.planet.tasks,PlanetTask,10,1,1,0,0,0,-1.0
org.apache.roller.planet.tasks,RefreshPlanetTask,24,2,2,1,1,4,0.0
org.apache.roller.planet.tasks,StaticPlanetModel,34,5,6,1,0,5,0.0
org.apache.roller.planet.util,MailUtil,174,7,28,1,1,1,0.0
org.apache.roller.planet.util.rome,ContentModule,5,2,2,1,3,0,-1.0
org.apache.roller.planet.util.rome,ContentModuleGenerator,21,4,5,2,0,1,0.75
org.apache.roller.planet.util.rome,ContentModuleImpl,19,5,5,1,0,1,0.6
org.apache.roller.planet.util.rome,ContentModuleParser,18,3,4,0,0,1,-1.0
org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,15,3,3,0,0,0,-1.0
org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,15,3,3,0,0,0,-1.0
org.apache.roller.planet.util.rome,PlanetConverterForRSS20,20,3,4,0,0,0,-1.0
org.apache.roller.planet.util.rome,PlanetRSS091NParser,18,3,4,0,0,0,-1.0
org.apache.roller.planet.util.rome,PlanetRSS091UParser,18,3,4,0,0,0,-1.0
org.apache.roller,RollerException,93,9,14,1,0,0,0.0
org.apache.roller.util,DateUtil,353,49,69,10,19,2,0.2857142857142857
org.apache.roller.util,ISO8601DateParser,33,2,3,0,1,0,-1.0
org.apache.roller.util,PropertyExpander,43,3,6,1,2,1,0.6666666666666666
org.apache.roller.util,RegexUtil,61,4,9,2,5,1,0.5
org.apache.roller.util,RollerConstants,19,1,1,14,46,0,0.0
org.apache.roller.util,UUIDGenerator,13,2,2,0,2,0,-1.0
org.apache.roller.util,DerbyManager,75,3,4,3,1,1,0.0
org.apache.roller.util,PropertyExpanderTest,20,2,2,1,0,1,1.0
org.apache.roller.util,RegexUtilTest,23,3,3,0,0,1,-1.0
org.apache.roller.weblogger.business,AbstractURLStrategy,144,10,22,1,0,2,0.2
org.apache.roller.weblogger.business,BookmarkManager,83,12,12,0,12,3,-1.0
org.apache.roller.weblogger.business,BootstrapException,11,2,2,0,0,0,-1.0
org.apache.roller.weblogger.business,DatabaseProvider,127,12,19,10,5,1,0.0
org.apache.roller.weblogger.business,FileContentManager,58,7,7,0,4,2,-1.0
org.apache.roller.weblogger.business,FileContentManagerImpl,247,14,52,2,2,6,0.2857142857142857
org.apache.roller.weblogger.business,FileIOException,14,3,3,0,0,0,-1.0
org.apache.roller.weblogger.business,FileNotFoundException,14,3,3,0,0,0,-1.0
