Project Name,Package Name,Type Name,Method Name,Code Smell
..,org.apache.roller.planet.business,PlanetManager,getEntries,Long Parameter List
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Magic Number
..,org.apache.roller.planet.business,EntryFunctionalTests,testDeleteEntries,Magic Number
..,org.apache.roller.planet.business,GroupFunctionalTests,testGroupLookups,Magic Number
..,org.apache.roller.planet.business,PlanetFunctionalTests,testPlanetLookups,Magic Number
..,org.apache.roller.planet.business,SubscriptionFunctionalTests,testSubscriptionLookups,Magic Number
..,org.apache.roller.planet.business,SubscriptionFunctionalTests,testSubscriptionGroupCRUD,Magic Number
..,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,RomeFeedFetcher,Magic Number
..,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Conditional
..,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Method
..,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,buildEntry,Complex Method
..,org.apache.roller.planet.business.jpa,JPAPlanetImpl,JPAPlanetImpl,Long Parameter List
..,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getGroup,Magic Number
..,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Parameter List
..,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Statement
..,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Complex Conditional
..,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
..,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement
..,org.apache.roller.planet.pojos,PlanetGroup,getRecentEntries,Magic Number
..,org.apache.roller.planet.util,MailUtil,sendMessage,Complex Method
..,org.apache.roller.planet.util,MailUtil,sendMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
..,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List
..,org.apache.roller.util,DateUtil,getNoonOfDay,Magic Number
..,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
..,org.apache.roller.util,DateUtil,formatIso8601,Magic Number
..,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
..,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Complex Conditional
..,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
..,org.apache.roller.util,DateUtil,parseWeblogURLDateString,Magic Number
..,org.apache.roller.util,ISO8601DateParser,parse,Magic Number
..,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
..,org.apache.roller.util,ISO8601DateParser,toString,Magic Number
..,org.apache.roller.util,PropertyExpander,expandProperties,Magic Number
..,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
..,org.apache.roller.util,RegexUtil,obfuscateEmail,Magic Number
