TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
AbstractManagerImpl,3,0,1,-1.0,0,0
BootstrapException,2,0,0,-1.0,0,0
InitializationException,2,0,0,-1.0,0,0
Manager,3,2,0,-1.0,0,0
MultiPlanetURLStrategy,15,0,1,-1.0,1,1
Planet,8,0,0,-1.0,17,0
PlanetManager,25,0,1,-1.0,25,4
PlanetProvider,2,0,0,-1.0,0,0
PlanetURLStrategy,7,1,0,-1.0,5,0
EntryBasicTests,3,0,0,0.0,0,5
EntryFunctionalTests,4,0,0,0.0,0,7
GroupBasicTests,3,0,0,0.0,0,5
GroupFunctionalTests,3,0,0,0.0,0,5
PlanetBasicTests,1,0,0,0.0,0,4
PlanetFunctionalTests,3,0,0,0.0,0,4
PropertiesTest,3,0,0,1.0,0,4
RomeFeedFetcherTest,4,0,0,0.75,0,4
SingleThreadedFeedUpdaterTest,3,0,0,0.0,0,5
SubscriptionBasicTests,1,0,0,-1.0,0,4
SubscriptionFunctionalTests,4,0,0,0.0,0,6
FeedFetcher,2,1,0,-1.0,8,0
FetcherException,8,0,0,-1.0,0,0
RomeFeedFetcher,24,0,1,0.0,0,2
JPAPlanetImpl,9,0,0,0.0,1,5
JPAPlanetManagerImpl,48,0,0,0.064516129032258,1,6
FeedUpdater,3,1,0,-1.0,3,2
SingleThreadedFeedUpdater,17,0,1,0.3333333333333333,0,7
UpdaterException,2,0,0,-1.0,0,0
PlanetRuntimeConfig,9,0,0,0.3333333333333333,3,6
Author,4,0,0,0.5,1,0
Category,2,0,0,0.0,1,0
Planet,13,0,0,0.3076923076923077,2,1
PlanetGroup,29,0,0,0.3333333333333333,17,5
StaticTemplate,21,0,1,0.2857142857142857,0,0
Subscription,32,0,0,0.2413793103448276,20,2
SubscriptionEntry,50,0,0,0.425,10,5
Template,2,1,0,-1.0,1,0
GeneratePlanetTask,3,0,1,0.0,1,2
PlanetTask,1,2,0,-1.0,0,0
RefreshPlanetTask,2,0,1,0.0,1,4
StaticPlanetModel,6,0,0,0.0,0,5
MailUtil,28,0,0,0.0,1,1
ContentModule,2,1,0,-1.0,3,0
ContentModuleGenerator,5,0,0,0.75,0,1
ContentModuleImpl,5,0,1,0.6,0,1
ContentModuleParser,4,0,0,-1.0,0,1
PlanetConverterForRSS091N,3,0,0,-1.0,0,0
PlanetConverterForRSS091U,3,0,0,-1.0,0,0
PlanetConverterForRSS20,4,0,0,-1.0,0,0
PlanetRSS091NParser,4,0,0,-1.0,0,0
PlanetRSS091UParser,4,0,0,-1.0,0,0
RollerException,14,0,0,0.0,0,0
DateUtil,69,0,0,0.2857142857142857,19,2
ISO8601DateParser,3,0,0,-1.0,1,0
PropertyExpander,6,0,0,0.6666666666666666,2,1
RegexUtil,9,0,0,0.5,5,1
RollerConstants,1,0,0,0.0,46,0
UUIDGenerator,2,0,0,-1.0,2,0
DerbyManager,4,0,0,0.0,1,1
PropertyExpanderTest,2,0,0,1.0,0,1
RegexUtilTest,3,0,0,-1.0,0,1
AbstractURLStrategy,22,1,1,0.2,0,2
BookmarkManager,12,0,0,-1.0,12,3
BootstrapException,2,0,0,-1.0,0,0
DatabaseProvider,19,0,0,0.0,5,1
FileContentManager,7,1,0,-1.0,4,2
FileContentManagerImpl,52,0,1,0.2857142857142857,2,6
FileIOException,3,0,0,-1.0,0,0
FileNotFoundException,3,0,0,-1.0,0,0
FilePathException,3,0,0,-1.0,0,0
GuiceWebloggerProvider,4,0,1,0.5,0,3
HitCountQueue,8,0,0,0.3333333333333333,4,6
InitializationException,2,0,0,-1.0,0,0
MailProvider,12,0,0,0.0,2,1
MediaFileManager,25,0,0,-1.0,22,5
MultiWeblogURLStrategy,58,1,2,-1.0,1,4
OAuthManager,11,0,0,-1.0,7,0
PreviewURLStrategy,39,0,3,0.0,0,4
PropertiesManager,6,0,0,-1.0,12,1
TestTask,8,0,0,1.0,2,1
URLStrategy,30,1,0,-1.0,35,1
UserManager,31,0,0,-1.0,34,3
WeblogEntryManager,43,0,0,-1.0,58,7
Weblogger,27,1,0,-1.0,37,0
WebloggerFactory,11,0,0,0.4,201,5
WebloggerImpl,31,0,1,0.0,0,22
WebloggerProvider,2,1,0,-1.0,3,0
WeblogManager,22,0,0,-1.0,24,4
BookmarkTest,9,0,0,0.0,0,7
CommentTest,5,0,0,0.0,0,5
CustomTemplateRenditionTest,3,0,0,0.0,0,7
FileContentManagerTest,4,0,0,0.75,0,8
FolderCRUDTest,3,0,0,0.0,0,6
FolderFunctionalityTest,7,0,0,0.0,0,6
HitCountTest,8,0,0,0.0,0,6
MediaFileTest,23,0,0,0.2941176470588235,0,6
PermissionTest,6,0,0,0.0,0,7
PingsTest,7,0,0,0.0,0,8
PlanetManagerLocalTest,4,0,0,0.6666666666666666,0,10
PropertiesTest,3,0,0,1.0,0,4
SQLScriptRunnerTest,8,0,0,0.75,1,5
TaskLockTest,3,0,0,1.0,0,4
ThemeManagerTest,3,0,0,1.0,0,3
UserTest,8,0,0,1.0,0,5
WeblogCategoryCRUDTest,5,0,0,0.0,0,6
WeblogCategoryFunctionalityTest,7,0,0,0.0,0,7
WeblogEntryTest,35,0,0,0.1111111111111111,0,5
WeblogPageTest,4,0,0,0.0,0,6
WeblogStatsTest,6,0,0,0.5,0,6
WeblogTest,4,0,0,0.0,0,5
JPAAutoPingManagerImpl,15,0,0,0.1666666666666666,1,8
JPABookmarkManagerImpl,29,0,0,0.1333333333333333,1,6
JPAMediaFileManagerImpl,88,0,0,0.0666666666666666,2,15
JPAOAuthManagerImpl,36,0,0,0.0,2,4
JPAPersistenceStrategy,31,0,0,0.0,15,2
JPAPingQueueManagerImpl,9,0,0,0.25,1,3
JPAPingTargetManagerImpl,15,0,0,0.4,1,2
JPAPropertiesManagerImpl,16,0,0,0.25,1,4
JPAThreadManagerImpl,15,0,0,0.0,1,4
JPAUserManagerImpl,69,0,0,0.0625,1,8
JPAWeblogEntryManagerImpl,165,0,0,0.04,3,17
JPAWebloggerImpl,4,0,0,0.0,1,11
JPAWebloggerModule,1,0,0,-1.0,0,43
JPAWeblogManagerImpl,90,0,0,0.074074074074074,1,23
JPAOAuthManagerTest,3,0,0,0.6666666666666666,0,3
AutoPingManager,11,0,0,-1.0,7,4
PingQueueManager,6,0,0,-1.0,5,2
PingQueueProcessor,18,0,0,0.0,2,9
PingQueueTask,13,0,0,0.0,1,4
PingTargetManager,8,0,0,-1.0,10,1
WeblogUpdatePinger,17,0,0,0.4,3,5
PingResult,6,0,0,0.0,1,0
AutoformatPlugin,10,0,1,1.0,0,1
HTMLSubsetPlugin,6,0,1,0.8,0,2
LinkMarkupPlugin,8,0,1,1.0,0,2
WeblogEntryCommentPlugin,4,3,0,-1.0,0,1
ConvertLineBreaksPlugin,11,0,1,0.6,1,3
EncodePreTagsPlugin,7,0,1,0.8,2,3
ObfuscateEmailPlugin,5,0,1,1.0,0,3
SmileysPlugin,17,0,1,0.4285714285714285,1,4
WeblogEntryPlugin,4,4,0,-1.0,2,2
EncodePreTagsPluginTest,4,0,0,-1.0,0,1
PluginManager,6,1,0,-1.0,10,3
PluginManagerImpl,21,0,1,0.2222222222222222,1,7
CommentPluginsTest,3,0,0,1.0,0,4
ContinuousWorkerThread,6,0,1,0.6,0,1
