component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/HTMLSanitizer.java,45
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/PasswordUtility.java,34
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java,31
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/startup/DatabaseInstaller.java,29
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntry.java,27
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/MailUtil.java,25
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/Utilities.java,23
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/config/WebloggerConfig.java,21
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/mobile/MobileDeviceRepository.java,19
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAOAuthManagerImpl.java,19
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java,17
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/FileContentManagerImpl.java,14
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PageServlet.java,14
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/MediaFile.java,14
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java,13
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileView.java,13
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/tags/calendar/CalendarTag.java,12
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/themes/SharedThemeFromDir.java,12
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAWeblogEntryManagerImpl.java,12
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAMediaFileManagerImpl.java,11
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/runnable/TaskRunner.java,11
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java,11
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/RollerContext.java,11
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/EntryEdit.java,9
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/util/menu/MenuHelper.java,9
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/Register.java,9
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileImageChooser.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Comments.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/themes/ThemeManagerImpl.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAWeblogManagerImpl.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/mobile/MobileDeviceRepository.java,8
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Templates.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/tags/WordWrapTag.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/WeblogConfig.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/URLModel.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileAdd.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BaseAPIHandler.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/GlobalConfig.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/UserEdit.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/EncodePreTagsPlugin.java,7
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MembersInvite.java,6
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/plugins/comments/LdapCommentAuthenticator.java,6
aryanmishra777_roller:db-utils/src/main/java/org/apache/roller/testutils/DerbyLifeCycle.java,6
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Members.java,6
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java,6
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MediaFileEdit.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/FolderEdit.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/cache/LRUCacheImpl.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/oauth/AuthorizationServlet.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPAUserManagerImpl.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/ThemeEdit.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/WebloggerImpl.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/Weblog.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/SmileysPlugin.java,5
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/planet/ui/PlanetConfig.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Entries.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/MemberResign.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/util/DateUtil.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Pings.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/util/UIAction.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/util/RegexUtil.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/StandaloneWebappClassLoader.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/pings/PingQueueProcessor.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/Bannedwordslist.java,4
