Project Name,Package Name,Type Name,Code Smell
..,org.apache.roller.planet.business,AbstractManagerImpl,Unutilized Abstraction
..,org.apache.roller.planet.business,BootstrapException,Unutilized Abstraction
..,org.apache.roller.planet.business,InitializationException,Unutilized Abstraction
..,org.apache.roller.planet.business,Manager,Unutilized Abstraction
..,org.apache.roller.planet.business,PlanetManager,Unutilized Abstraction
..,org.apache.roller.planet.business,PlanetManager,Cyclic-Dependent Modularization
..,org.apache.roller.planet.business,PlanetProvider,Unutilized Abstraction
..,org.apache.roller.planet.business,EntryBasicTests,Unutilized Abstraction
..,org.apache.roller.planet.business,EntryFunctionalTests,Unutilized Abstraction
..,org.apache.roller.planet.business,EntryFunctionalTests,Deficient Encapsulation
..,org.apache.roller.planet.business,GroupBasicTests,Unutilized Abstraction
..,org.apache.roller.planet.business,GroupFunctionalTests,Unutilized Abstraction
..,org.apache.roller.planet.business,PlanetBasicTests,Unutilized Abstraction
..,org.apache.roller.planet.business,PlanetBasicTests,Deficient Encapsulation
..,org.apache.roller.planet.business,PlanetFunctionalTests,Unutilized Abstraction
..,org.apache.roller.planet.business,PlanetFunctionalTests,Deficient Encapsulation
..,org.apache.roller.planet.business,PropertiesTest,Unutilized Abstraction
..,org.apache.roller.planet.business,PropertiesTest,Deficient Encapsulation
..,org.apache.roller.planet.business,RomeFeedFetcherTest,Unutilized Abstraction
..,org.apache.roller.planet.business,RomeFeedFetcherTest,Deficient Encapsulation
..,org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,Unutilized Abstraction
..,org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,Deficient Encapsulation
..,org.apache.roller.planet.business,SubscriptionBasicTests,Unutilized Abstraction
..,org.apache.roller.planet.business,SubscriptionFunctionalTests,Unutilized Abstraction
..,org.apache.roller.planet.business.fetcher,FetcherException,Unutilized Abstraction
..,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,Unutilized Abstraction
..,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,Insufficient Modularization
..,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Unutilized Abstraction
..,org.apache.roller.planet.business.updater,UpdaterException,Unutilized Abstraction
..,org.apache.roller.planet.config,PlanetRuntimeConfig,Cyclic-Dependent Modularization
..,org.apache.roller.planet.pojos,PlanetGroup,Cyclic-Dependent Modularization
..,org.apache.roller.planet.pojos,PlanetGroup,Insufficient Modularization
..,org.apache.roller.planet.pojos,StaticTemplate,Unutilized Abstraction
..,org.apache.roller.planet.pojos,StaticTemplate,Insufficient Modularization
..,org.apache.roller.planet.pojos,Subscription,Cyclic-Dependent Modularization
..,org.apache.roller.planet.pojos,Subscription,Insufficient Modularization
..,org.apache.roller.planet.pojos,SubscriptionEntry,Cyclic-Dependent Modularization
..,org.apache.roller.planet.pojos,SubscriptionEntry,Insufficient Modularization
..,org.apache.roller.planet.tasks,GeneratePlanetTask,Unutilized Abstraction
..,org.apache.roller.planet.tasks,GeneratePlanetTask,Broken Hierarchy
..,org.apache.roller.planet.tasks,PlanetTask,Unutilized Abstraction
..,org.apache.roller.planet.tasks,RefreshPlanetTask,Unutilized Abstraction
..,org.apache.roller.planet.tasks,RefreshPlanetTask,Broken Hierarchy
..,org.apache.roller.planet.tasks,StaticPlanetModel,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,ContentModuleGenerator,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,ContentModuleImpl,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,ContentModuleParser,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,PlanetConverterForRSS20,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,PlanetRSS091NParser,Unutilized Abstraction
..,org.apache.roller.planet.util.rome,PlanetRSS091UParser,Unutilized Abstraction
