TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
StaticPlanetModel,6,0,0,0.0,0,5
RefreshPlanetTask,2,0,1,0.0,1,4
PlanetTask,1,2,0,-1.0,0,0
GeneratePlanetTask,3,0,1,0.0,1,2
PlanetConverterForRSS20,4,0,0,-1.0,0,0
PlanetRSS091UParser,4,0,0,-1.0,0,0
PlanetConverterForRSS091U,3,0,0,-1.0,0,0
PlanetRSS091NParser,4,0,0,-1.0,0,0
ContentModuleImpl,5,0,1,0.6,0,1
ContentModuleParser,4,0,0,-1.0,0,1
ContentModule,2,1,0,-1.0,3,0
PlanetConverterForRSS091N,3,0,0,-1.0,0,0
ContentModuleGenerator,5,0,0,0.75,0,1
MailUtil,28,0,0,0.0,1,1
PlanetRuntimeConfig,9,0,0,0.3333333333333333,3,6
Manager,3,2,0,-1.0,0,0
AbstractManagerImpl,3,2,1,-1.0,0,0
Planet,8,1,0,-1.0,1,0
PlanetURLStrategy,7,1,0,-1.0,5,0
InitializationException,2,0,1,-1.0,0,0
PlanetManager,25,1,1,-1.0,14,4
BootstrapException,2,0,1,-1.0,0,0
MultiPlanetURLStrategy,15,1,1,-1.0,1,1
PlanetProvider,2,0,0,-1.0,0,0
FeedFetcher,2,1,0,-1.0,6,0
RomeFeedFetcher,24,1,1,0.0,0,2
FetcherException,8,0,1,-1.0,0,0
JPAPlanetManagerImpl,48,0,2,0.06451612903225806,1,6
JPAPlanetImpl,9,0,2,0.0,1,5
SingleThreadedFeedUpdater,17,0,1,0.3333333333333333,0,7
UpdaterException,2,0,1,-1.0,0,0
FeedUpdater,3,1,0,-1.0,2,2
PlanetGroup,29,0,0,0.3333333333333333,11,5
Planet,13,0,0,0.3076923076923077,10,1
StaticTemplate,21,0,1,0.2857142857142857,0,0
Category,2,0,0,0.0,1,0
SubscriptionEntry,50,0,0,0.425,7,5
Author,4,0,0,0.5,1,0
Template,2,1,0,-1.0,0,0
Subscription,32,0,0,0.2413793103448276,12,2
RollerConstants,1,0,0,0.0,44,0
RegexUtil,9,0,0,0.5,4,1
PropertyExpander,6,0,0,0.6666666666666666,1,1
DateUtil,69,0,0,0.2857142857142857,19,2
UUIDGenerator,2,0,0,-1.0,2,0
ISO8601DateParser,3,0,0,-1.0,1,0
InitFilter,14,0,0,0.5,1,2
BootstrapFilter,5,0,0,0.5,0,2
PersistenceSessionFilter,4,0,0,1.0,0,1
RoleAssignmentFilter,3,0,0,1.0,0,0
RoleAssignmentRequestWrapper,3,0,0,1.0,0,3
CustomOpenIDAuthenticationProcessingFilter,6,0,0,1.0,0,0
CharEncodingFilter,6,0,0,1.0,0,0
ValidateSaltFilter,10,0,0,0.5,0,3
DebugFilter,3,0,0,1.0,0,0
SpringFirewallExceptionFilter,3,0,0,1.0,0,0
IPBanFilter,4,0,0,0.6666666666666666,0,1
LoadSaltFilter,4,0,0,-1.0,0,2
RollerContext,32,1,0,0.36363636363636365,10,8
CmaRollerContext,2,0,1,-1.0,0,0
RollerSession,20,0,0,0.0,7,8
RollerLoginSessionManager,11,0,0,0.2857142857142857,4,6
SingletonHolder,0,0,0,-1.0,1,1
SessionCacheHandler,2,0,1,-1.0,0,1
MenuTabItem,6,0,0,0.5,2,0
ParsedTab,13,0,0,0.46153846153846156,2,1
